name,population,county
Portland ,"647,805","Multnomah, Washington, Clackamas"
Salem ,"175,798","Marion, Polk"
Eugene ,"168,916",Lane
Gresham,"111,053",Multnomah
Hillsboro ,"106,894",Washington
Beaverton,"96,577",Washington
Bend ,"87,014",Deschutes
Medford ,"79,805",Jackson
Springfield,"60,870",Lane
Corvallis ,"55,780",Benton
Albany ,"52,175","Linn, Benton"
Tigard,"51,253",Washington
Lake Oswego,"38,496","Clackamas, Multnomah, Washington"
Keizer,"37,895",Marion
Grants Pass ,"37,088",Josephine
Oregon City ,"35,831",Clackamas
McMinnville ,"33,892",Yamhill
Redmond,"28,654",Deschutes
Tualatin,"27,154","Washington, Clackamas"
West Linn,"26,593",Clackamas
Woodburn,"25,173",Marion
Forest Grove,"23,897",Washington
Newberg,"22,780",Yamhill
Wilsonville,"22,729","Clackamas, Washington"
Roseburg ,"22,114",Douglas
Klamath Falls ,"21,399",Klamath
Ashland,"20,861",Jackson
Milwaukie,"20,830","Clackamas, Multnomah"
Sherwood,"19,283",Washington
Happy Valley,"18,493",Clackamas
Central Point,"17,995",Jackson
Canby,"17,271",Clackamas
Hermiston,"17,201",Umatilla
Pendleton ,"16,881",Umatilla
Troutdale,"16,631",Multnomah
Lebanon,"16,324",Linn
Coos Bay,"16,182",Coos
The Dalles ,"15,340",Wasco
Dallas ,"15,277",Polk
St. Helens ,"13,158",Columbia
La Grande ,"13,074",Union
Cornelius,"12,317",Washington
Gladstone,"11,986",Clackamas
Ontario,"10,999",Malheur
Sandy,"10,644",Clackamas
Newport ,"10,268",Lincoln
Monmouth,"10,032",Polk
Cottage Grove,"9,969",Lane
Silverton,"9,753",Marion
Baker City ,"9,752",Baker
North Bend,"9,673",Coos
Astoria ,"9,626",Clatsop
Prineville ,"9,530",Crook
Fairview,"9,280",Multnomah
Sweet Home,"9,270",Linn
Independence,"9,227",Polk
Molalla,"8,972",Clackamas
Eagle Point,"8,902",Jackson
Florence,"8,649",Lane
Lincoln City,"8,536",Lincoln
Stayton,"7,969",Marion
Sutherlin,"7,912",Douglas
Hood River ,"7,624",Hood River
Milton-Freewater,"7,035",Umatilla
Umatilla,"7,009",Umatilla
Scappoose,"6,954",Columbia
Madras ,"6,662",Jefferson
Seaside,"6,540",Clatsop
Brookings,"6,476",Curry
Talent,"6,411",Jackson
Sheridan,"6,094",Yamhill
Junction City,"5,842",Lane
Winston,"5,393",Douglas
Warrenton,"5,282",Clatsop
Creswell,"5,199",Lane
Tillamook ,"4,997",Tillamook
Veneta,"4,800",Lane
Philomath,"4,599",Benton
Phoenix,"4,553",Jackson
Reedsport,"4,107",Douglas
Wood Village,"4,017",Multnomah
Aumsville,"4,013",Marion
Lafayette,"3,969",Yamhill
Coquille ,"3,858",Coos
Harrisburg,"3,704",Linn
King City,"3,680",Washington
Toledo,"3,511",Lincoln
Myrtle Creek,"3,459",Douglas
Mt. Angel,"3,437",Marion
Boardman,"3,354",Morrow
Hubbard,"3,299",Marion
Jefferson,"3,247",Marion
Oakridge,"3,211",Lane
Dundee,"3,200",Yamhill
Nyssa,"3,175",Malheur
Estacada,"3,152",Clackamas
Bandon,"3,115",Coos
Shady Cove,"3,022",Jackson
Jacksonville,"2,883",Jackson
Sublimity,"2,870",Marion
Burns ,"2,757",Harney
Gervais,"2,631",Marion
Dayton,"2,575",Yamhill
Myrtle Point,"2,514",Coos
Sisters,"2,472",Deschutes
Lakeview ,"2,296",Lake
Gold Beach ,"2,279",Curry
Rogue River,"2,227",Jackson
Vernonia,"2,143",Columbia
Waldport,"2,130",Lincoln
Union,"2,120",Union
Willamina,"2,106","Yamhill, Polk"
North Plains,"2,100",Washington
Stanfield,"2,082",Umatilla
Carlton,"2,067",Yamhill
Turner,"1,984",Marion
Columbia City,"1,958",Columbia
Durham,"1,938",Washington
Banks,"1,934",Washington
Cave Junction,"1,932",Josephine
Rainier,"1,920",Columbia
Canyonville,"1,911",Douglas
Enterprise ,"1,893",Wallowa
Mill City,"1,875","Marion, Linn"
Vale ,"1,833",Malheur
Irrigon,"1,800",Morrow
La Pine,"1,777",Deschutes
Clatskanie,"1,759",Columbia
Brownsville,"1,738",Linn
Lakeside,"1,737",Coos
Elgin,"1,732",Union
Cannon Beach,"1,702",Clatsop
John Day,"1,680",Grant
Amity,"1,641",Yamhill
Millersburg,"1,539",Linn
Hines,"1,525",Harney
Gearhart,"1,524",Clatsop
Pilot Rock,"1,513",Umatilla
Culver,"1,442",Jefferson
Depoe Bay,"1,422",Lincoln
Rockaway Beach,"1,347",Tillamook
Dunes City,"1,339",Lane
Bay City,"1,332",Tillamook
Heppner ,"1,287",Morrow
Gold Hill,"1,266",Jackson
Siletz,"1,221",Lincoln
Tangent,"1,220",Linn
Riddle,"1,191",Douglas
Lyons,"1,187",Linn
Cascade Locks,"1,159",Hood River
Drain,"1,157",Douglas
Port Orford,"1,146",Curry
Athena,"1,140",Umatilla
Yamhill,"1,094",Yamhill
Lowell,"1,087",Lane
Joseph,"1,063",Wallowa
Coburg,"1,055",Lane
Yoncalla,"1,053",Douglas
Island City,"1,005",Union
Donald,"1,001",Marion
Aurora,979,Marion
Falls City,975,Polk
Halsey,942,Linn
Oakland,936,Douglas
Scio,882,Linn
Glendale,881,Douglas
Prairie City,880,Grant
Merrill,825,Klamath
Adair Village,818,Benton
Malin,804,Klamath
Wallowa,795,Wallowa
Garibaldi,783,Tillamook
Maywood Park,778,Multnomah
Metolius,743,Jefferson
Chiloquin,721,Klamath
Yachats,718,Lincoln
Echo,702,Umatilla
Gaston,688,Washington
Condon ,681,Gilliam
Canyon City ,672,Grant
Powers,670,Coos
