name,population,county,location,lon,lat,department,size
Grant Name,157,Sherman,"Grass Valley, Oregon",-120.7856113,45.3601247,"Children, Youth and Families",73360
Grant Name,436,Union,"North Powder, Oregon",-117.9199386,45.0284737,Postsecondary Success,75898
Grant Name,15277,Polk,"Dallas, Oregon",-123.3170472,44.9192844,Visual Arts,58600
Grant Name,10999,Malheur,"Ontario, Oregon",-116.9629378,44.0265525,Ford Institute for Community Building,65595
Grant Name,189,Umatilla,"Ukiah, Oregon",-118.9324815,45.13403,"Children, Youth and Families",96901
Grant Name,13074,Union,"La Grande, Oregon",-118.0877188,45.3245771,Postsecondary Success,96272
Grant Name,306,Union,"Imbler, Oregon",-117.9621587,45.4595816,Visual Arts,55851
Grant Name,8972,Clackamas,"Molalla, Oregon",-122.5756477,45.1462914,Ford Institute for Community Building,93797
Grant Name,21399,Klamath,"Klamath Falls, Oregon",-121.7816704,42.224867,"Children, Youth and Families",59823
Grant Name,1157,Douglas,"Drain, Oregon",-123.3186987,43.65873089999999,Postsecondary Success,19800
Grant Name,9530,Crook,"Prineville, Oregon",-120.8344664,44.2998485,Visual Arts,58486
Grant Name,6540,Clatsop,"Seaside, Oregon",-123.9226385,45.9931636,Ford Institute for Community Building,14635
Grant Name,718,Lincoln,"Yachats, Oregon",-124.1048418,44.31123119999999,"Children, Youth and Families",10428
Grant Name,3459,Douglas,"Myrtle Creek, Oregon",-123.2931205,43.0201173,Postsecondary Success,67911
Grant Name,1984,Marion,"Turner, Oregon",-122.9528708,44.8431766,Visual Arts,49817
Grant Name,146,Grant,"Dayville, Oregon",-119.5358103,44.4682007,Ford Institute for Community Building,92518
Grant Name,1702,Clatsop,"Cannon Beach, Oregon",-123.9615274,45.8917738,"Children, Youth and Families",81472
Grant Name,11986,Clackamas,"Gladstone, Oregon",-122.5973104,45.3842943,Postsecondary Success,13094
Grant Name,13158,Columbia,"St. Helens, Oregon",-122.8212299,45.8589719,Visual Arts,91686
Grant Name,2631,Marion,"Gervais, Oregon",-122.8975952,45.1081752,Ford Institute for Community Building,65697
Grant Name,172,Malheur,"Adrian, Oregon",-117.0718261,43.7407155,"Children, Youth and Families",58205
Grant Name,623,Wasco,"Dufur, Oregon",-121.1306244,45.4531754,Postsecondary Success,55902
Grant Name,9753,Marion,"Silverton, Oregon",-122.7831455,45.0051213,Visual Arts,66550
Grant Name,278,Tillamook,"Nehalem, Oregon",-123.8940225,45.7201074,Ford Institute for Community Building,63075
Grant Name,193,Grant,"Seneca, Oregon",-118.9716139,44.1345979,"Children, Youth and Families",97181
Grant Name,9227,Polk,"Independence, Oregon",-123.1867656,44.8512305,Postsecondary Success,20001
Grant Name,16881,Umatilla,"Pendleton, Oregon",-118.7885967,45.672075,Visual Arts,80111
Grant Name,1732,Union,"Elgin, Oregon",-117.917434,45.5648612,Ford Institute for Community Building,52151
Grant Name,1525,Harney,"Hines, Oregon",-119.0810481,43.5640385,"Children, Youth and Families",93107
Grant Name,4800,Lane,"Veneta, Oregon",-123.3509294,44.0487342,Postsecondary Success,18507
Grant Name,367,Marion,"Scotts Mills, Oregon",-122.6684215,45.0428996,Visual Arts,77542
Grant Name,1920,Columbia,"Rainier, Oregon",-122.9359008,46.0891013,Ford Institute for Community Building,53673
Grant Name,2067,Yamhill,"Carlton, Oregon",-123.1796697,45.2942902,"Children, Youth and Families",99138
Grant Name,7035,Umatilla,"Milton-Freewater, Oregon",-118.3877435,45.9326346,Postsecondary Success,56787
Grant Name,7624,Hood River,"Hood River, Oregon",-121.5214623,45.7053966,Visual Arts,48015
Grant Name,681,Gilliam,"Condon, Oregon",-120.1850344,45.2342966,Ford Institute for Community Building,73785
Grant Name,2100,Washington,"North Plains, Oregon",-122.992888,45.5970077,"Children, Youth and Families",39580
Grant Name,1422,Lincoln,"Depoe Bay, Oregon",-124.0631713,44.8084467,Postsecondary Success,14800
Grant Name,4599,Benton,"Philomath, Oregon",-123.3676014,44.540121,Visual Arts,29794
Grant Name,1442,Jefferson,"Culver, Oregon",-121.2130974,44.5256753,Ford Institute for Community Building,88133
Grant Name,1187,Linn,"Lyons, Oregon",-122.6150855,44.7745664,"Children, Youth and Families",87256
Grant Name,672,Grant,"Canyon City, Oregon",-118.9502315,44.3895995,Postsecondary Success,81670
Grant Name,176,Baker,"Richland, Oregon",-117.1685112,44.7690498,Visual Arts,84408
Grant Name,1140,Umatilla,"Athena, Oregon",-118.4905251,45.8117992,Ford Institute for Community Building,73766
Grant Name,8536,Lincoln,"Lincoln City, Oregon",-124.0178914,44.95816440000001,"Children, Youth and Families",15513
Grant Name,2870,Marion,"Sublimity, Oregon",-122.7945335,44.8295663,Postsecondary Success,13373
Grant Name,439,Marion,"St. Paul, Oregon",-122.9767662,45.21122949999999,Visual Arts,49314
Grant Name,4997,Tillamook,"Tillamook, Oregon",-123.8440137,45.4562158,Ford Institute for Community Building,14477
